district,year,total_enrollment,grade_3k,grade_pk_(half_day_&_full_day),grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,num_female,pct_female,num_male,pct_male,num_asian,pct_asian,num_black,pct_black,num_hispanic,pct_hispanic,num_multi-racial,pct_multi-racial,num_native_american,pct_native_american,num_white,pct_white,num_missing_race/ethnicity_data,pct_missing_race/ethnicity_data,num_students_with_disabilities,pct_students_with_disabilities,num_english_language_learners,pct_english_language_learners,num_poverty,pct_poverty,economic_need_index
3,2018,22667,0,1144,1295,1388,1442,1437,1401,1361,1390,1464,1427,2353,2370,2234,1961,12192,0.5378744602203369,10465,0.46168437600135803,1875,0.08271937072277069,4873,0.21498213708400726,7332,0.32346582412719727,852,0.03758768364787102,119,0.005249922629445791,7349,0.324215829372406,267,0.0117792384698987,4026,0.17761503159999847,1140,0.05029337853193283,11293,0.4982132613658905,0.5014634132385254
3,2019,22577,0,1198,1348,1289,1340,1418,1386,1380,1474,1396,1470,2216,2408,2168,2086,12160,0.5386012196540833,10417,0.46139878034591675,1936,0.08575098216533661,4712,0.20870797336101532,7172,0.31766843795776367,906,0.04012933373451233,118,0.005226558074355125,7440,0.32953891158103943,293,0.012977809645235538,4145,0.18359392881393433,1070,0.04739336669445038,11050,0.48943614959716797,0.4889771342277527
3,2020,22564,202,1184,1384,1300,1243,1334,1369,1345,1408,1454,1365,2460,2202,2225,2089,12268,0.5436979532241821,10296,0.45630207657814026,2049,0.09080836921930313,4464,0.19783726334571838,7097,0.31452757120132446,931,0.04126041382551193,116,0.005140932276844978,7443,0.32986173033714294,464,0.020563729107379913,4177,0.18511788547039032,954,0.04227973893284798,10515,0.466007798910141,0.49843376874923706
3,2021,21084,207,961,1166,1195,1153,1131,1185,1257,1324,1342,1427,2025,2478,2090,2143,11412,0.5412635207176208,9672,0.45873647928237915,2007,0.09519066661596298,4057,0.19242079555988312,6778,0.321476012468338,903,0.04282868653535843,122,0.005786378402262926,6669,0.3163062036037445,548,0.025991272181272507,4017,0.19052362442016602,939,0.04453613981604576,10107,0.4793682396411896,0.5003746151924133
3,2022,19766,394,923,1057,1088,1095,1049,1040,1134,1216,1253,1306,1888,1993,2344,1986,10770,0.5448750257492065,8996,0.45512497425079346,1946,0.0984518900513649,3813,0.19290700554847717,6412,0.32439541816711426,853,0.04315491393208504,104,0.005261560436338186,6169,0.3121016025543213,469,0.02372761256992817,3745,0.18946675956249237,829,0.041940707713365555,9529,0.48209047317504883,0.4917926788330078
4,2018,13230,0,889,831,918,978,1002,990,978,1001,972,962,966,1012,856,875,6740,0.509448230266571,6487,0.49032503366470337,1078,0.08148147910833359,3196,0.24157218635082245,7985,0.603552520275116,149,0.011262282729148865,139,0.01050642505288124,615,0.046485260128974915,68,0.005139833781868219,3197,0.24164776504039764,1378,0.1041572168469429,10996,0.8311413526535034,0.8323310613632202
4,2019,13038,302,778,792,808,857,957,999,976,984,990,966,931,964,897,837,6702,0.5140358805656433,6336,0.4859641194343567,1116,0.08559595048427582,3085,0.23661604523658752,7835,0.600935697555542,176,0.013499002903699875,146,0.01119803637266159,611,0.04686301574110985,69,0.005292222835123539,3214,0.24651020765304565,1306,0.10016873478889465,10611,0.8138518333435059,0.8248842358589172
4,2020,13004,622,851,759,781,758,823,884,996,982,960,956,902,927,907,896,6707,0.5157643556594849,6297,0.48423561453819275,1173,0.09020301699638367,3059,0.2352353185415268,7584,0.5832051634788513,177,0.013611196540296078,140,0.010765918530523777,633,0.04867732897400856,238,0.018302060663700104,3121,0.2400030791759491,1184,0.09104891121387482,10599,0.8150569200515747,0.8420661091804504
4,2021,12336,499,743,711,711,770,734,776,871,977,944,953,918,932,897,900,6428,0.521076500415802,5908,0.4789234697818756,1176,0.09533073753118515,2895,0.2346789836883545,7156,0.5800908207893372,224,0.018158236518502235,126,0.010214007459580898,630,0.051070038229227066,129,0.01045719813555479,2982,0.24173152446746826,1198,0.09711413830518723,10110,0.8195525407791138,0.8316657543182373
4,2022,11567,522,604,684,671,676,734,693,759,893,900,928,852,932,863,856,6026,0.5209648013114929,5541,0.4790351986885071,1065,0.09207227826118469,2759,0.23852337896823883,6715,0.5805308222770691,209,0.018068643286824226,109,0.009423359297215939,637,0.055070459842681885,73,0.006311057135462761,2781,0.24042534828186035,1175,0.10158208757638931,9277,0.8020229935646057,0.8143988251686096
5,2018,11632,0,1033,677,728,753,805,829,785,740,785,782,1054,1000,802,859,5491,0.47205984592437744,6139,0.5277682542800903,458,0.03937413915991783,5708,0.49071526527404785,4570,0.39288169145584106,102,0.008768913336098194,104,0.00894085317850113,575,0.04943259805440903,115,0.009886519983410835,2757,0.23701857030391693,1061,0.0912138894200325,9719,0.8355398774147034,0.8398038744926453
5,2019,11236,294,981,606,614,665,730,786,773,713,704,759,1004,967,853,787,5335,0.4748131036758423,5901,0.5251868963241577,387,0.03444286063313484,5482,0.48789605498313904,4397,0.39133143424987793,101,0.00898896437138319,103,0.009166963398456573,650,0.05784976854920387,116,0.010323958471417427,2774,0.2468850165605545,926,0.0824136734008789,9199,0.8187077045440674,0.8319318890571594
5,2020,10947,636,930,590,581,601,654,714,774,650,707,706,1002,829,773,800,5198,0.47483327984809875,5749,0.5251666903495789,380,0.03471270576119423,5213,0.4762035310268402,4269,0.3899698555469513,129,0.011784050613641739,103,0.00940897036343813,654,0.05974239483475685,199,0.01817849650979042,2679,0.2447245866060257,836,0.07636795192956924,8920,0.8148351311683655,0.8387733697891235
5,2021,9998,446,800,489,563,568,575,636,690,665,642,700,901,853,734,736,4656,0.4656931459903717,5342,0.5343068838119507,368,0.036807361990213394,4669,0.46699339151382446,3937,0.3937787413597107,149,0.014902980998158455,88,0.008801760151982307,634,0.06341268122196198,153,0.015303060412406921,2525,0.25255051255226135,792,0.07921583950519562,8114,0.8115622997283936,0.8332643508911133
5,2022,9341,507,696,488,500,569,531,546,607,581,632,620,817,799,746,702,4349,0.46558183431625366,4992,0.5344181656837463,350,0.03746922314167023,4345,0.46515363454818726,3677,0.39364093542099,115,0.012311316095292568,124,0.013274810276925564,638,0.06830103695392609,92,0.009849052876234055,2340,0.25050851702690125,730,0.07815009355545044,7455,0.7980944514274597,0.8209968209266663
6,2018,22701,0,1727,1552,1730,1763,1865,1788,1700,1530,1583,1745,1694,1391,1197,1436,11192,0.49301794171333313,11508,0.5069380402565002,319,0.014052244834601879,1608,0.07083388417959213,19316,0.8508875966072083,146,0.006431434769183397,69,0.0030395137146115303,1200,0.052861105650663376,43,0.0018941896269097924,4540,0.19999119639396667,6317,0.2782696783542633,19594,0.8631337881088257,0.8432052135467529
